,periodOfReport,ticker,pos,neg,neu,compound
0,2020-12-31,ABNB,0.122,0.065,0.812,1.0
1,2021-03-31,ABNB,0.107,0.028,0.865,0.9999
2,2021-06-30,ABNB,0.082,0.027,0.89,0.9999
3,2021-09-30,ABNB,0.079,0.026,0.895,0.9999
4,2021-12-31,ABNB,0.126,0.069,0.805,1.0
5,2022-03-31,ABNB,0.08,0.025,0.895,0.9999
6,2012-06-30,BLK,0.127,0.048,0.825,1.0
7,2012-09-30,BLK,0.129,0.049,0.822,1.0
8,2012-12-31,BLK,0.108,0.054,0.838,1.0
9,2013-03-31,BLK,0.124,0.046,0.83,1.0
10,2013-06-30,BLK,0.121,0.045,0.834,1.0
11,2013-09-30,BLK,0.125,0.044,0.83,1.0
12,2013-12-31,BLK,0.106,0.052,0.842,1.0
13,2014-03-31,BLK,0.116,0.045,0.839,1.0
14,2014-06-30,BLK,0.075,0.022,0.903,1.0
15,2014-09-30,BLK,0.081,0.019,0.899,1.0
16,2014-12-31,BLK,0.114,0.055,0.831,1.0
17,2015-03-31,BLK,0.074,0.018,0.908,1.0
18,2015-06-30,BLK,0.067,0.014,0.919,1.0
19,2015-09-30,BLK,0.067,0.015,0.918,1.0
20,2015-12-31,BLK,0.11,0.06,0.83,1.0
21,2016-03-31,BLK,0.069,0.017,0.915,1.0
22,2016-06-30,BLK,0.062,0.014,0.924,1.0
23,2016-09-30,BLK,0.095,0.019,0.886,1.0
24,2016-12-31,BLK,0.114,0.061,0.825,1.0
25,2017-03-31,BLK,0.078,0.017,0.905,1.0
26,2017-06-30,BLK,0.067,0.015,0.918,1.0
27,2017-09-30,BLK,0.0,0.0,1.0,0.0
28,2017-12-31,BLK,0.114,0.06,0.827,1.0
29,2018-03-31,BLK,0.108,0.026,0.866,1.0
30,2018-06-30,BLK,0.0,0.0,1.0,0.0
31,2018-09-30,BLK,0.0,0.0,1.0,0.0
32,2018-12-31,BLK,0.121,0.063,0.816,1.0
33,2019-03-31,BLK,0.105,0.026,0.868,1.0
34,2019-06-30,BLK,0.0,0.0,1.0,0.0
35,2019-09-30,BLK,0.0,0.0,1.0,0.0
36,2019-12-31,BLK,0.124,0.063,0.813,1.0
37,2020-03-31,BLK,0.083,0.021,0.896,0.9999
38,2020-06-30,BLK,0.0,0.0,1.0,0.0
39,2020-09-30,BLK,0.0,0.0,1.0,0.0
40,2020-12-31,BLK,0.123,0.063,0.814,1.0
41,2021-03-31,BLK,0.0,0.0,1.0,0.0
42,2021-06-30,BLK,0.0,0.0,1.0,0.0
43,2021-09-30,BLK,0.0,0.0,1.0,0.0
44,2021-12-31,BLK,0.132,0.071,0.798,1.0
45,2022-03-31,BLK,0.128,0.032,0.84,1.0
46,2012-06-30,DVN,0.141,0.041,0.818,1.0
47,2012-09-30,DVN,0.106,0.058,0.837,0.9998
48,2012-12-31,DVN,0.103,0.053,0.845,1.0
49,2013-03-31,DVN,0.112,0.05,0.838,0.9999
50,2013-06-30,DVN,0.098,0.052,0.849,0.9998
51,2013-09-30,DVN,0.107,0.057,0.836,0.9998
52,2013-12-31,DVN,0.104,0.056,0.84,1.0
53,2014-03-31,DVN,0.054,0.01,0.936,0.9998
54,2014-06-30,DVN,0.062,0.016,0.922,0.9998
55,2014-09-30,DVN,0.056,0.021,0.923,0.9995
56,2014-12-31,DVN,0.121,0.057,0.821,1.0
57,2015-03-31,DVN,0.05,0.014,0.936,0.9997
58,2015-06-30,DVN,0.056,0.015,0.929,0.9998
59,2015-09-30,DVN,0.058,0.017,0.925,0.9997
60,2015-12-31,DVN,0.138,0.062,0.799,1.0
61,2016-03-31,DVN,0.06,0.014,0.926,0.9999
62,2016-06-30,DVN,0.065,0.015,0.919,0.9999
63,2016-09-30,DVN,0.07,0.024,0.907,0.9998
64,2016-12-31,DVN,0.046,0.024,0.93,0.9705
65,2017-03-31,DVN,0.052,0.018,0.93,0.9998
66,2017-06-30,DVN,0.054,0.018,0.928,0.9999
67,2017-09-30,DVN,0.06,0.03,0.911,0.9993
68,2017-12-31,DVN,0.134,0.065,0.801,1.0
69,2018-03-31,DVN,0.079,0.039,0.882,0.9995
70,2018-06-30,DVN,0.081,0.036,0.883,0.9996
71,2018-09-30,DVN,0.0,0.0,1.0,0.0
72,2018-12-31,DVN,0.135,0.065,0.8,1.0
73,2019-03-31,DVN,0.0,0.0,1.0,0.0
74,2019-06-30,DVN,0.0,0.0,1.0,0.0
75,2019-09-30,DVN,0.0,0.0,1.0,0.0
76,2019-12-31,DVN,0.133,0.063,0.805,1.0
77,2020-03-31,DVN,0.0,0.0,1.0,0.0
78,2020-06-30,DVN,0.085,0.018,0.897,0.9997
79,2020-09-30,DVN,0.075,0.032,0.893,0.9993
80,2020-12-31,DVN,0.131,0.061,0.808,1.0
81,2021-03-31,DVN,0.0,0.0,1.0,0.0
82,2021-06-30,DVN,0.0,0.0,1.0,0.0
83,2021-09-30,DVN,0.095,0.035,0.87,0.9999
84,2021-12-31,DVN,0.131,0.059,0.81,1.0
85,2022-03-31,DVN,0.089,0.038,0.873,0.9999
86,2012-09-30,FANG,0.087,0.043,0.87,0.9994
87,2012-12-31,FANG,0.113,0.051,0.836,1.0
88,2013-03-31,FANG,0.094,0.036,0.87,0.9998
89,2013-06-30,FANG,0.094,0.041,0.865,0.9995
90,2013-09-30,FANG,0.095,0.018,0.887,0.9999
91,2013-12-31,FANG,0.119,0.055,0.826,1.0
92,2014-03-31,FANG,0.087,0.018,0.895,0.9997
93,2014-06-30,FANG,0.0,0.0,1.0,0.0
94,2014-09-30,FANG,0.114,0.019,0.867,0.9999
95,2014-12-31,FANG,0.122,0.056,0.822,1.0
96,2015-03-31,FANG,0.114,0.017,0.869,1.0
97,2015-06-30,FANG,0.109,0.017,0.874,1.0
98,2015-09-30,FANG,0.138,0.027,0.835,1.0
99,2015-12-31,FANG,0.117,0.06,0.823,1.0
100,2016-03-31,FANG,0.089,0.017,0.893,0.9999
101,2016-06-30,FANG,0.146,0.026,0.828,1.0
102,2016-09-30,FANG,0.144,0.025,0.831,1.0
103,2016-12-31,FANG,0.107,0.057,0.837,1.0
104,2017-03-31,FANG,0.14,0.025,0.835,1.0
105,2017-06-30,FANG,0.158,0.025,0.817,1.0
106,2017-09-30,FANG,0.142,0.022,0.837,1.0
107,2017-12-31,FANG,0.102,0.067,0.83,1.0
108,2018-03-31,FANG,0.142,0.022,0.836,1.0
109,2018-06-30,FANG,0.152,0.023,0.825,1.0
110,2018-09-30,FANG,0.149,0.021,0.831,1.0
111,2018-12-31,FANG,0.102,0.06,0.838,1.0
112,2019-03-31,FANG,0.155,0.021,0.824,1.0
113,2019-06-30,FANG,0.154,0.028,0.818,1.0
114,2019-09-30,FANG,0.158,0.035,0.808,1.0
115,2019-12-31,FANG,0.111,0.056,0.833,1.0
116,2020-03-31,FANG,0.162,0.033,0.805,1.0
117,2020-06-30,FANG,0.151,0.039,0.81,1.0
118,2020-09-30,FANG,0.123,0.036,0.841,1.0
119,2020-12-31,FANG,0.114,0.055,0.831,1.0
120,2021-03-31,FANG,0.122,0.036,0.842,1.0
121,2021-06-30,FANG,0.118,0.034,0.848,1.0
122,2021-09-30,FANG,0.137,0.034,0.829,1.0
123,2021-12-31,FANG,0.106,0.056,0.837,1.0
124,2022-03-31,FANG,0.139,0.035,0.826,1.0
125,2012-06-30,FB,0.128,0.035,0.837,1.0
126,2012-09-30,FB,0.072,0.018,0.911,0.9998
127,2012-12-31,FB,0.111,0.06,0.828,1.0
128,2013-03-31,FB,0.102,0.027,0.871,1.0
129,2013-06-30,FB,0.119,0.016,0.865,0.9999
130,2013-09-30,FB,0.109,0.014,0.877,0.9999
131,2013-12-31,FB,0.114,0.06,0.826,1.0
132,2014-03-31,FB,0.068,0.011,0.921,0.9996
133,2014-06-30,FB,0.072,0.011,0.916,0.9996
134,2014-09-30,FB,0.095,0.011,0.895,0.9999
135,2014-12-31,FB,0.111,0.063,0.827,1.0
136,2015-03-31,FB,0.092,0.016,0.892,0.9999
137,2015-06-30,FB,0.101,0.015,0.884,0.9999
138,2015-09-30,FB,0.099,0.013,0.889,0.9999
139,2015-12-31,FB,0.109,0.065,0.826,1.0
140,2016-03-31,FB,0.094,0.011,0.894,0.9999
141,2016-06-30,FB,0.1,0.013,0.887,0.9999
142,2016-09-30,FB,0.093,0.013,0.894,0.9999
143,2016-12-31,FB,0.119,0.075,0.805,1.0
144,2017-03-31,FB,0.094,0.012,0.894,0.9999
145,2017-06-30,FB,0.103,0.016,0.881,0.9999
146,2017-09-30,FB,0.097,0.015,0.888,0.9999
147,2017-12-31,FB,0.12,0.077,0.803,1.0
148,2018-03-31,FB,0.098,0.016,0.886,0.9999
149,2018-06-30,FB,0.102,0.022,0.876,0.9999
150,2018-09-30,FB,0.071,0.015,0.914,0.9997
151,2018-12-31,FB,0.125,0.072,0.803,1.0
152,2019-03-31,FB,0.09,0.018,0.892,0.9999
153,2019-06-30,FB,0.093,0.021,0.886,0.9999
154,2019-09-30,FB,0.088,0.019,0.893,0.9999
155,2019-12-31,FB,0.127,0.074,0.798,1.0
156,2020-03-31,FB,0.089,0.019,0.892,0.9999
157,2020-06-30,FB,0.092,0.032,0.876,0.9999
158,2020-09-30,FB,0.09,0.028,0.882,0.9999
159,2020-12-31,FB,0.132,0.077,0.791,1.0
160,2021-03-31,FB,0.092,0.031,0.877,0.9999
161,2021-06-30,FB,0.094,0.03,0.876,0.9999
162,2021-09-30,FB,0.096,0.03,0.875,0.9999
163,2021-12-31,FB,0.125,0.044,0.831,1.0
164,2022-03-31,FB,0.096,0.025,0.879,0.9999
165,2012-06-30,MCHP,0.114,0.032,0.854,1.0
166,2012-09-30,MCHP,0.076,0.027,0.897,0.9999
167,2012-12-31,MCHP,0.076,0.026,0.899,0.9999
168,2013-03-31,MCHP,0.138,0.051,0.811,1.0
169,2013-06-30,MCHP,0.075,0.024,0.9,0.9999
170,2013-09-30,MCHP,0.078,0.026,0.896,0.9999
171,2013-12-31,MCHP,0.077,0.025,0.899,0.9999
172,2014-03-31,MCHP,0.134,0.052,0.815,1.0
173,2014-06-30,MCHP,0.079,0.025,0.895,0.9999
174,2014-09-30,MCHP,0.08,0.026,0.894,0.9999
175,2014-12-31,MCHP,0.075,0.025,0.9,0.9999
176,2015-03-31,MCHP,0.135,0.053,0.812,1.0
177,2015-06-30,MCHP,0.077,0.024,0.899,0.9999
178,2015-09-30,MCHP,0.085,0.028,0.887,1.0
179,2015-12-31,MCHP,0.085,0.023,0.892,1.0
180,2016-03-31,MCHP,0.133,0.057,0.81,1.0
181,2016-06-30,MCHP,0.093,0.023,0.884,1.0
182,2016-09-30,MCHP,0.094,0.027,0.879,1.0
183,2016-12-31,MCHP,0.094,0.026,0.88,1.0
184,2017-03-31,MCHP,0.136,0.055,0.808,1.0
185,2017-06-30,MCHP,0.093,0.027,0.879,1.0
186,2017-09-30,MCHP,0.092,0.032,0.876,1.0
187,2017-12-31,MCHP,0.094,0.031,0.875,1.0
188,2018-03-31,MCHP,0.135,0.054,0.811,1.0
189,2018-06-30,MCHP,0.092,0.033,0.875,1.0
190,2018-09-30,MCHP,0.091,0.034,0.875,1.0
191,2018-12-31,MCHP,0.089,0.034,0.878,1.0
192,2019-03-31,MCHP,0.138,0.058,0.804,1.0
193,2019-06-30,MCHP,0.088,0.033,0.879,1.0
194,2019-09-30,MCHP,0.1,0.039,0.862,1.0
195,2019-12-31,MCHP,0.105,0.036,0.859,1.0
196,2020-03-31,MCHP,0.132,0.064,0.804,1.0
197,2020-06-30,MCHP,0.099,0.032,0.869,1.0
198,2020-09-30,MCHP,0.099,0.04,0.862,1.0
199,2020-12-31,MCHP,0.091,0.038,0.871,1.0
200,2021-03-31,MCHP,0.131,0.06,0.81,1.0
201,2021-06-30,MCHP,0.094,0.038,0.868,1.0
202,2021-09-30,MCHP,0.101,0.043,0.857,0.9999
203,2021-12-31,MCHP,0.106,0.045,0.849,1.0
204,2022-03-31,MCHP,0.126,0.074,0.799,1.0
205,2012-06-30,MELI,0.121,0.065,0.813,1.0
206,2012-09-30,MELI,0.121,0.066,0.813,1.0
207,2013-03-31,MELI,0.097,0.037,0.866,0.9985
208,2013-06-30,MELI,0.134,0.037,0.829,0.9998
209,2013-09-30,MELI,0.156,0.036,0.808,1.0
210,2014-03-31,MELI,0.148,0.035,0.817,1.0
211,2014-06-30,MELI,0.143,0.038,0.819,1.0
212,2014-09-30,MELI,0.0,0.0,1.0,0.0
213,2015-03-31,MELI,0.0,0.0,1.0,0.0
214,2015-06-30,MELI,0.0,0.0,1.0,0.0
215,2015-09-30,MELI,0.0,0.0,1.0,0.0
216,2016-03-31,MELI,0.0,0.0,1.0,0.0
217,2016-06-30,MELI,0.0,0.0,1.0,0.0
218,2016-09-30,MELI,0.0,0.0,1.0,0.0
219,2017-03-31,MELI,0.0,0.0,1.0,0.0
220,2017-06-30,MELI,0.0,0.0,1.0,0.0
221,2017-09-30,MELI,0.0,0.0,1.0,0.0
222,2018-03-31,MELI,0.0,0.0,1.0,0.0
223,2018-06-30,MELI,0.0,0.0,1.0,0.0
224,2018-09-30,MELI,0.0,0.0,1.0,0.0
225,2019-03-31,MELI,0.0,0.0,1.0,0.0
226,2019-06-30,MELI,0.0,0.0,1.0,0.0
227,2019-09-30,MELI,0.0,0.0,1.0,0.0
228,2020-03-31,MELI,0.0,0.0,1.0,0.0
229,2020-06-30,MELI,0.0,0.0,1.0,0.0
230,2020-09-30,MELI,0.0,0.0,1.0,0.0
231,2021-03-31,MELI,0.0,0.0,1.0,0.0
232,2021-06-30,MELI,0.085,0.025,0.89,1.0
233,2021-09-30,MELI,0.0,0.0,1.0,0.0
234,2022-03-31,MELI,0.0,0.0,1.0,0.0
235,2012-06-30,MRO,0.092,0.036,0.871,0.9999
236,2012-09-30,MRO,0.116,0.036,0.848,0.9999
237,2012-12-31,MRO,0.13,0.058,0.812,1.0
238,2013-03-31,MRO,0.116,0.036,0.848,0.9999
239,2013-06-30,MRO,0.119,0.035,0.846,0.9999
240,2013-09-30,MRO,0.063,0.019,0.918,0.9998
